,topic,subtopic,video,video_length_[mins]
0,07 Physiology 34h33m,01 Fluid & Edema,01 Fluid Distribution and Edema - Total Body Water.mp4,4.550833333
1,07 Physiology 34h33m,01 Fluid & Edema,04 Fluid Distribution and Edema - Osmolar Gap.mp4,8.0565
2,07 Physiology 34h33m,01 Fluid & Edema,07 Fluid Distribution and Edema - Changes in Volume Concentration - Part 2.mp4,14.90216667
3,07 Physiology 34h33m,01 Fluid & Edema,11 Fluid Distribution and Edema - Causes of Peripheral Edema.mp4,7.774666667
4,07 Physiology 34h33m,01 Fluid & Edema,02 Fluid Distribution and Edema - Osmosis.mp4,5.480333333
5,07 Physiology 34h33m,01 Fluid & Edema,05 Fluid Distribution and Edema - Graphical Representation of Body Compartments.mp4,5.255166667
6,07 Physiology 34h33m,01 Fluid & Edema,09 Fluid Distribution and Edema - Integration of Volume Regulation.mp4,7.413833333
7,07 Physiology 34h33m,01 Fluid & Edema,13 Fluid Distribution and Edema - Volume Measurements.mp4,4.290666667
8,07 Physiology 34h33m,01 Fluid & Edema,03 Fluid Distribution and Edema - Extracellular Solutes.mp4,3.843666667
9,07 Physiology 34h33m,01 Fluid & Edema,12 Fluid Distribution and Edema - Pulmonary Edema.mp4,5.179
10,07 Physiology 34h33m,01 Fluid & Edema,08 Fluid Distribution and Edema - Changes in Volume Concentration - Questions.mp4,5.601
11,07 Physiology 34h33m,01 Fluid & Edema,06 Fluid Distribution and Edema - Changes in Volume Concentration - Part 1.mp4,8.7865
12,07 Physiology 34h33m,01 Fluid & Edema,10 Fluid Distribution and Edema - Filtration and Absorption.mp4,9.372333333
13,07 Physiology 34h33m,04 Cardiovascular,01 Cardiovascular Mechanics - Systolic Performance of the Ventricle.mp4,34.028
14,07 Physiology 34h33m,04 Cardiovascular,06 Cardiovascular Mechanics - Cardiopulmonary Mechanoreceptors.mp4,40.32033333
15,07 Physiology 34h33m,04 Cardiovascular,05 Cardiovascular Mechanics - Determinants of Cardiac Output.mp4,33.5475
16,07 Physiology 34h33m,04 Cardiovascular,04 Cardiovascular Mechanics - General Aspects of the Cardiovascular System.mp4,68.75216667
17,07 Physiology 34h33m,04 Cardiovascular,02 Cardiovascular Mechanics - Ventricular Function Curves.mp4,23.92233333
