,topic,subtopic,video,video_length_[mins],video_length_[hrs]
0,01 Anatomy 34h27m,01 Embryology & Histology,01 Gonad Development - Gonad Development.mp4,34.84,0.58
1,01 Anatomy 34h27m,01 Embryology & Histology,02 First 8 Weeks of Development - Week 1 Beginning of Development.mp4,18.51,0.31
2,01 Anatomy 34h27m,01 Embryology & Histology,03 First 8 Weeks of Development - Week 2 Formation of the Bilaminar Embryo.mp4,7.9,0.13
3,01 Anatomy 34h27m,01 Embryology & Histology,04 First 8 Weeks of Development - Embryonic Period (Weeks 3-8).mp4,18.52,0.31
4,01 Anatomy 34h27m,01 Embryology & Histology,05 Histology_ Epithelia - Histology_ Epithelia.mp4,21.75,0.36
5,01 Anatomy 34h27m,01 Embryology & Histology,06 Histology_ Epithelia - Cytoskeletal and Cell Surface Elements.mp4,34.49,0.57
6,01 Anatomy 34h27m,02 Gross Anatomy,01 Back and Autonomic Nervous System - Vertebral Column.mp4,27.22,0.45
7,01 Anatomy 34h27m,02 Gross Anatomy,02 Back and Autonomic Nervous System - Spinal Nerves.mp4,12.32,0.21
8,01 Anatomy 34h27m,02 Gross Anatomy,03 Back and Autonomic Nervous System - Autonomic Nervous System.mp4,9.06,0.15
9,01 Anatomy 34h27m,02 Gross Anatomy,04 Back and Autonomic Nervous System - Sympathetic Nervous System.mp4,23.23,0.39
10,01 Anatomy 34h27m,02 Gross Anatomy,05 Back and Autonomic Nervous System - Parasympathetic Nervous System.mp4,7.72,0.13
11,01 Anatomy 34h27m,02 Gross Anatomy,06 Thorax - Chest Wall.mp4,25.95,0.43
12,01 Anatomy 34h27m,02 Gross Anatomy,07 Thorax - Lungs.mp4,29.59,0.49
13,01 Anatomy 34h27m,02 Gross Anatomy,08 Thorax - Heart.mp4,29.38,0.49
14,01 Anatomy 34h27m,02 Gross Anatomy,09 Thorax - Development of Heart.mp4,9.61,0.16
15,01 Anatomy 34h27m,02 Gross Anatomy,10 Thorax - Development of Atrial Septums.mp4,27.64,0.46
16,01 Anatomy 34h27m,02 Gross Anatomy,11 Thorax - Atrial Septal Defect.mp4,10.14,0.17
17,01 Anatomy 34h27m,02 Gross Anatomy,12 Thorax - Ventricular Septum.mp4,6.25,0.1
18,01 Anatomy 34h27m,02 Gross Anatomy,13 Thorax - Fetal Heart Abnormalities.mp4,16.19,0.27
19,01 Anatomy 34h27m,02 Gross Anatomy,14 Thorax - Fetal Circulation and Shunts.mp4,27.86,0.46
20,01 Anatomy 34h27m,02 Gross Anatomy,15 Thorax - Adult Heart.mp4,16.13,0.27
21,01 Anatomy 34h27m,02 Gross Anatomy,16 Thorax - Cardiac Conduction.mp4,25.88,0.43
22,01 Anatomy 34h27m,02 Gross Anatomy,17 Thorax - Mediastinum.mp4,27.46,0.46
23,01 Anatomy 34h27m,02 Gross Anatomy,"18 Abdomen, Pelvis, and Perineum - Abdominal Wall.mp4",38.66,0.64
24,01 Anatomy 34h27m,02 Gross Anatomy,"19 Abdomen, Pelvis, and Perineum - Inguinal Hernia.mp4",13.99,0.23
25,01 Anatomy 34h27m,02 Gross Anatomy,"20 Abdomen, Pelvis, and Perineum - Descent of Testis and Femoral Hernia.mp4",18.02,0.3
26,01 Anatomy 34h27m,02 Gross Anatomy,"21 Abdomen, Pelvis, and Perineum - Embryology of Gut Tube.mp4",18.41,0.31
27,01 Anatomy 34h27m,02 Gross Anatomy,"22 Abdomen, Pelvis, and Perineum - Foregut development.mp4",27.99,0.47
28,01 Anatomy 34h27m,02 Gross Anatomy,"23 Abdomen, Pelvis, and Perineum - Pancreas and Duodenum Development.mp4",8.78,0.15
29,01 Anatomy 34h27m,02 Gross Anatomy,"24 Abdomen, Pelvis, and Perineum - Development of the Spleen.mp4",13.47,0.22
30,01 Anatomy 34h27m,02 Gross Anatomy,"25 Abdomen, Pelvis, and Perineum - Peritoneum and Rotation of the Gut.mp4",48.25,0.8
31,01 Anatomy 34h27m,02 Gross Anatomy,"26 Abdomen, Pelvis, and Perineum - Histology of the GI Tract.mp4",30.27,0.5
32,01 Anatomy 34h27m,02 Gross Anatomy,"27 Abdomen, Pelvis, and Perineum - Intestinal Histology.mp4",19.15,0.32
33,01 Anatomy 34h27m,02 Gross Anatomy,"28 Abdomen, Pelvis, and Perineum - Histology of Salivary Glands, Pancreas, and Liver.mp4",11.23,0.19
34,01 Anatomy 34h27m,02 Gross Anatomy,"29 Abdomen, Pelvis, and Perineum - Arterial Blood Supply of the GI Tract.mp4",27.4,0.46
35,01 Anatomy 34h27m,02 Gross Anatomy,"30 Abdomen, Pelvis, and Perineum - Venous Drainage of the GI Tract.mp4",21.67,0.36
36,01 Anatomy 34h27m,02 Gross Anatomy,"31 Abdomen, Pelvis, and Perineum - Urinary System.mp4",25.71,0.43
